,id,created_at,retweet_count,user_screen_name,user_followers_count,user_location,Hashtags,text,Sentiment,SentimentClass
0,1259474114554847235,2020-05-10 13:23:23,21,Khuzo123,139,,[],RT @ReutersAfrica: Zambia has applied to the International Monetary Fund (IMF) for a COVID-19-related rapid credit facility as it starts th…,0.0,Neutral
1,1259473841509634048,2020-05-10 13:22:18,1,Mulenga16911611,154,"Here, There and Everywhere",[],"RT @sikailesikaile1: @nkwoolley @UKinZambia @DfidZambia @zmBritish @foreignoffice @UNICEF @NHSuk @davidcpardoe Please UK, stop funding dict…",0.0,Neutral
2,1259473557148651520,2020-05-10 13:21:10,1,Novi_insight,867,"Lusaka, Zambia",[],"RT @mohzambia: Zambia has recorded 15 new cases of COVID-19 in the last 24hrs. 14 in Lusaka, 1 in Chilanga, 5 New Recoveries COVID-19 #48…",0.0909090909090909,Positive
3,1259473277598261248,2020-05-10 13:20:03,0,CoVid19LiveNews,11525,,[],Latest Updates May 10 ➡️15 new cases in Zambia Source ( ),0.3181818181818182,Positive
4,1259473034571898881,2020-05-10 13:19:05,6,trishf20,163,United Kingdom,[],"RT @LauraMiti: There was never any doubt COVID cases would come pouring into Zambia from Tanzania, given President Magufuli's decision to d…",0.0,Neutral
5,1259471665425252352,2020-05-10 13:13:39,1,mohzambia,5872,"Lusaka, Zambia",[],"Zambia has recorded 15 new cases of COVID-19 in the last 24hrs. 14 in Lusaka, 1 in Chilanga, 5 New Recoveries COVI…",0.0909090909090909,Positive
6,1259471451775807494,2020-05-10 13:12:48,3,Steve_Ougo,1321,Proudly kenyan 🇰🇪,"[{'text': 'COVID19', 'indices': [42, 50]}, {'text': 'Zambia', 'indices': [61, 68]}]","RT @YALINetwork: To prevent the spread of #COVID19, Enock in #Zambia is: ➡️ Washing his hands often ➡️ Practicing social distancing ➡️ Avoi…",0.03333333333333333,Positive
7,1259471348310687744,2020-05-10 13:12:23,5,Steve_Ougo,1321,Proudly kenyan 🇰🇪,"[{'text': 'Zambia', 'indices': [29, 36]}, {'text': 'COVID19', 'indices': [62, 70]}]",RT @YALINetwork: Ndashe from #Zambia is slowing the spread of #COVID19 by: ➡️ Washing her hands thoroughly ➡️ Carrying hand sanitizer ➡️ Av…,0.0,Neutral
8,1259468498704744448,2020-05-10 13:01:04,0,zimkwacha,778,,[],COVID free Zambia 2012....really miss this place.,0.4,Positive
9,1259468388818202627,2020-05-10 13:00:38,0,moneyfmzambia,3015,"Lusaka, Zambia",[],[JUST IN] : Zambia Records 15 New COVID-19 Cases.,0.13636363636363635,Positive
10,1259466580385239042,2020-05-10 12:53:27,0,ZMPolitics,3055,Zambia,"[{'text': 'RT', 'indices': [88, 91]}, {'text': 'Zambia', 'indices': [92, 99]}, {'text': 'Africa', 'indices': [100, 107]}, {'text': 'Politics', 'indices': [108, 117]}]",7-day COVID-19 prayers | Zambian Politics News - (Full Story: ) #RT #Zambia #Africa #Politics,0.425,Positive
11,1259466155175096321,2020-05-10 12:51:45,17,missbinee,455,"Lusaka, Zambia","[{'text': 'Zambia', 'indices': [22, 29]}]","RT @Mwebantu: UPDATE: #Zambia has recorded 15 new cases of COVID-19 in the last 24hrs. 14 in Lusaka, 1 in Chilanga (Lusaka province) - MOH…",0.06818181818181818,Positive
12,1259461700400676866,2020-05-10 12:34:03,13,jeremypats,28,Kitwe,"[{'text': 'Zambia', 'indices': [22, 29]}, {'text': 'Covid', 'indices': [32, 38]}, {'text': 'Covid', 'indices': [118, 124]}]","RT @Mwebantu: UPDATE: #Zambia's #Covid-19 cases, now stands at 267, with 7 deaths, with 117 discharges and 143 active #Covid-19 cases. #Za…",-0.13333333333333333,Negative
13,1259459795045752832,2020-05-10 12:26:29,6,LauraMiti,38551,,[],"There was never any doubt COVID cases would come pouring into Zambia from Tanzania, given President Magufuli's deci…",0.0,Neutral
14,1259458238438944768,2020-05-10 12:20:18,1,MisheckChizema,73,Zimbabwe,"[{'text': 'pindula', 'indices': [122, 130]}]",RT @WeArePindula: Zambia Records 100 COVID-19 Cases In 24 Hours Following Lifting Of The Lockdown #pindula via @wea…,0.0,Neutral
15,1259455914693754880,2020-05-10 12:11:04,0,chola_neene,42,,[],"Covid-19 is having a grand slam in the border town of nakonde,meanwhile govt is easing itself into failure to conta…",0.09166666666666665,Positive
